Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
84,Belize,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"6,335.01",...,...,...,...,...,"11,779.02",...,...,"1,277.13",...,...,"1,302.15",...,...,"1,202.82",...,...,...,...,...,...,...,...,...,2009,1202.82,...,3.82
204,Benin,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,"39,347.62",...,...,...,...,"6,251.03",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6251.03,...,0.91
64,Bhutan,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"1,292.59",...,...,...,...,...,"1,555.90",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1555.90,...,2.63
68,Bolivia (Plurinational State of),"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","15,323.57",...,...,...,"20,693.76",...,...,...,"48,078.28",...,"42,969.19",...,"30,844.61",...,"43,665.10",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,43665.10,184.95,4.81
70,Bosnia and Herzegovina,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","34,043.49","30,796.73","10,566.84","4,009.57","4,473.75","4,457.51","7,389.56","10,243.55","14,224.54","14,598.50","15,249.48","16,118.46","16,080.08","16,436.75","17,451.84","16,461.55","18,721.69","18,788.50","20,379.40","23,782.87","25,740.20","28,107.84","21,816.44","24,029.00","25,740.00",...,...,...,...,2014,25740.00,-24.39,7.39
72,Botswana,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"9,291.74",...,...,...,...,...,"6,139.54",...,...,...,...,...,...,...,...,...,...,...,...,...,...,"23,977.58",...,...,...,2015,23977.58,...,11.31
76,Brazil,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","549,508.95","571,124.50","579,937.39","592,150.01","610,399.21","636,112.07","642,566.41","667,841.99","686,733.41","702,806.13","726,356.22","745,108.42","761,523.80","779,225.00","814,206.76","829,852.13","835,405.20","840,726.07","868,919.21","855,372.90","917,073.32","953,766.85","983,403.27","1,023,745.34","1,051,252.38","1,026,660.50",...,...,...,2015,1026660.50,86.83,5.02
96,Brunei Darussalam,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"9,488.83",...,...,...,...,...,...,...,...,2010,9488.83,...,24.42
100,Bulgaria,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","101,794.34","83,349.88","77,727.07","76,742.25","73,107.41","74,614.54","74,782.90","71,967.78","67,955.96","60,709.30","59,580.03","62,640.66","59,963.84","64,510.04","63,592.41","64,117.73","64,678.35","68,555.80","67,142.57","58,154.08","60,726.73","65,995.81","60,940.95","55,666.99","58,679.25","61,920.68","59,345.03","61,682.76","57,815.59",2018,57815.59,-43.20,8.20
854,Burkina Faso,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"5,968.24",...,...,...,...,...,...,...,...,...,...,...,...,"20,413.01",...,...,...,...,...,...,...,...,...,...,...,2007,20413.01,...,1.43
