PROVINCIAS,CANTONES,DPA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
MORONA SANTIAGO,LOGROÑO,1410,5922,6099,6276,6452,6627,6800,6972,7142,7311,7478,7643,7805,7964,8122,8276,8428,8576,8722,8865,9005,9143
MORONA SANTIAGO,PABLO VI,1411,1872,1963,2057,2154,2253,2354,2458,2564,2673,2784,2897,3013,3131,3251,3374,3498,3625,3755,3886,4020,4156
MORONA SANTIAGO,TIWINTZA,1412,7186,7531,7886,8250,8622,9003,9393,9792,10200,10616,11041,11473,11914,12363,12820,13284,13756,14236,14724,15220,15723
NAPO,TENA,1501,62766,64333,65946,67571,69202,70845,72499,74158,75826,77502,79182,80864,82546,84219,85891,87563,89226,90888,92539,94188,95834
NAPO,ARCHIDONA,1503,25722,26414,27128,27849,28575,29309,30050,30795,31547,32305,33068,33834,34603,35371,36142,36915,37687,38462,39234,40009,40785
NAPO,EL CHACO,1504,8214,8401,8593,8786,8978,9172,9366,9560,9754,9948,10142,10335,10527,10717,10907,11095,11282,11467,11650,11833,12014
NAPO,QUIJOS,1507,6463,6510,6558,6603,6645,6685,6722,6757,6790,6820,6847,6871,6893,6911,6925,6938,6947,6954,6958,6959,6959
NAPO,CARLOS JULIO AROSEMENA,1509,3788,3856,3926,3996,4065,4133,4201,4268,4335,4401,4466,4530,4593,4655,4715,4774,4832,4889,4944,4998,5051
PASTAZA,PASTAZA,1601,63887,65804,67765,69746,71759,73802,75870,77965,80082,82221,84377,86546,88727,90916,93115,95314,97522,99745,101968,104203,106448
PASTAZA,MERA,1602,12175,12650,13142,13644,14161,14692,15236,15794,16365,16950,17547,18156,18777,19409,20053,20706,21371,22050,22740,23442,24157
PASTAZA,SANTA CLARA,1603,3697,3747,3796,3844,3892,3937,3983,4027,4069,4110,4150,4188,4224,4259,4291,4322,4351,4378,4403,4427,4450
PASTAZA,ARAJUNO,1604,6711,6852,6996,7139,7281,7424,7566,7708,7849,7989,8128,8265,8400,8533,8664,8792,8919,9043,9165,9285,9404
PICHINCHA,QUITO,1701,2319671,2365973,2412427,2458900,2505344,2551721,2597989,2644145,2690150,2735987,2781641,2827105,2872350,2917365,2962111,3006592,3050736,3094524,3137926,3180937,3223512
PICHINCHA,CAYAMBE,1702,88840,90709,92587,94470,96356,98242,100129,102015,103899,105781,107660,109534,111404,113269,115128,116979,118822,120654,122475,124285,126081
PICHINCHA,MEJIA,1703,84011,86299,88623,90974,93353,95759,98193,100650,103132,105637,108167,110719,113293,115889,118508,121146,123801,126474,129165,131868,134587
PICHINCHA,PEDRO MONCAYO,1704,34292,35155,36030,36912,37802,38700,39604,40514,41431,42353,43281,44214,45152,46094,47042,47993,48948,49905,50865,51827,52790
PICHINCHA,RUMIÑAHUI,1705,88635,91153,93714,96311,98943,101609,104311,107043,109807,112603,115433,118291,121180,124099,127049,130025,133026,136053,139108,142182,145278
PICHINCHA,SAN MIGUEL DE LOS BANCOS,1707,17957,18931,19953,21020,22136,23303,24524,25798,27128,28517,29969,31481,33059,34704,36423,38212,40074,42015,44038,46141,48328
PICHINCHA,PEDRO VICENTE MALDONADO,1708,13350,13712,14080,14452,14828,15209,15594,15983,16375,16771,17171,17575,17981,18392,18805,19222,19641,20063,20488,20915,21344
PICHINCHA,PUERTO QUITO,1709,21197,21577,21956,22334,22710,23084,23455,23823,24189,24551,24911,25267,25620,25969,26314,26655,26992,27324,27651,27974,28291
TUNGURAHUA,AMBATO,1801,342529,346973,351477,356009,360544,365072,369578,374068,378523,382941,387309,391628,395892,400093,404230,408301,412312,416253,420113,423892,427592
TUNGURAHUA,BAÑOS,1802,20730,21139,21555,21978,22406,22838,23273,23712,24153,24598,25043,25490,25939,26388,26838,27288,27739,28190,28641,29090,29538
TUNGURAHUA,CEVALLOS,1803,8464,8606,8750,8896,9043,9191,9340,9489,9638,9787,9936,10085,10233,10380,10527,10673,10818,10963,11106,11248,11389
TUNGURAHUA,MOCHA,1804,7062,7093,7125,7156,7186,7214,7241,7268,7292,7315,7336,7355,7372,7388,7401,7412,7422,7430,7435,7439,7440
TUNGURAHUA,PATATE,1805,14016,14196,14378,14561,14745,14928,15109,15291,15471,15649,15825,15999,16171,16340,16506,16670,16831,16989,17144,17296,17444
TUNGURAHUA,QUERO,1806,20020,20092,20164,20235,20303,20368,20429,20485,20538,20586,20627,20664,20696,20722,20743,20758,20768,20773,20771,20764,20752
TUNGURAHUA,SAN PEDRO DE PELILEO,1807,58731,59531,60343,61160,61978,62797,63613,64427,65236,66039,66836,67624,68404,69174,69934,70684,71424,72153,72868,73571,74261
TUNGURAHUA,SANTIAGO DE PILLARO,1808,39895,40255,40617,40979,41338,41693,42042,42386,42722,43051,43371,43683,43985,44278,44560,44832,45095,45347,45587,45817,46036
TUNGURAHUA,TISALEO,1809,12601,12770,12942,13116,13289,13462,13635,13807,13978,14148,14317,14483,14648,14810,14971,15129,15285,15438,15589,15736,15881
ZAMORA CHINCHIPE,ZAMORA,1901,26602,27231,27857,28485,29112,29735,30355,30968,31573,32172,32761,33341,33914,34482,35038,35587,36125,36656,37178,37692,38195
ZAMORA CHINCHIPE,CHINCHIPE,1902,9547,9679,9807,9932,10053,10170,10283,10390,10492,10588,10679,10764,10844,10920,10990,11055,11115,11170,11221,11267,11308
ZAMORA CHINCHIPE,NANGARITZA,1903,5376,5609,5849,6096,6350,6611,6879,7153,7434,7721,8014,8313,8619,8932,9251,9577,9909,10249,10596,10949,11309
ZAMORA CHINCHIPE,YACUAMBI,1904,6098,6209,6318,6426,6533,6638,6740,6840,6936,7030,7121,7208,7294,7377,7456,7532,7605,7676,7744,7810,7872
ZAMORA CHINCHIPE,YANTZAZA,1905,19392,20054,20727,21411,22106,22810,23525,24246,24973,25708,26447,27191,27942,28701,29464,30232,31003,31781,32565,33354,34145
ZAMORA CHINCHIPE,EL PANGUI,1906,8992,9194,9395,9595,9795,9992,10189,10382,10573,10761,10945,11125,11303,11479,11650,11819,11983,12145,12304,12459,12611
ZAMORA CHINCHIPE,CENTINELA DEL CONDOR,1907,6757,6916,7074,7233,7391,7549,7706,7861,8013,8165,8313,8460,8605,8748,8888,9026,9162,9296,9427,9557,9684
ZAMORA CHINCHIPE,PALANDA,1908,8444,8622,8799,8975,9149,9322,9493,9660,9825,9986,10144,10298,10449,10598,10742,10883,11020,11154,11285,11413,11537
ZAMORA CHINCHIPE,PAQUISHA,1909,3986,4162,4344,4531,4724,4922,5126,5335,5549,5768,5992,6221,6455,6695,6940,7191,7447,7708,7976,8248,8527
GALAPAGOS,SAN CRISTOBAL,2001,7707,7899,8095,8293,8493,8693,8890,9085,9278,9473,9667,9862,10059,10257,10457,10660,10864,11070,11277,11487,11698
GALAPAGOS,ISABELA,2002,2321,2392,2464,2538,2614,2690,2765,2842,2918,2995,3073,3153,3233,3314,3398,3482,3568,3655,3744,3834,3926
GALAPAGOS,SANTA CRUZ,2003,15856,16285,16725,17169,17619,18070,18517,18963,19404,19852,20302,20754,21211,21673,22142,22617,23098,23582,24073,24571,25073
SUCUMBIOS,LAGO AGRIO,2101,94242,96741,99254,101780,104317,106863,109408,111956,114503,117048,119594,122136,124668,127193,129707,132214,134707,137178,139626,142059,144468
SUCUMBIOS,GONZALO PIZARRO,2102,8876,9005,9130,9252,9371,9487,9599,9706,9811,9911,10007,10100,10188,10272,10351,10428,10499,10566,10628,10686,10740
SUCUMBIOS,PUTUMAYO,2103,10364,10856,11366,11894,12440,13004,13587,14188,14808,15446,16106,16785,17483,18202,18943,19704,20486,21288,22113,22958,23825
SUCUMBIOS,SHUSHUFINDI,2104,45529,46750,47979,49215,50456,51703,52951,54200,55449,56698,57949,59198,60443,61686,62924,64158,65388,66607,67816,69018,70209
SUCUMBIOS,SUCUMBIOS,2105,3505,3543,3579,3614,3647,3679,3709,3737,3763,3788,3811,3832,3852,3870,3886,3900,3913,3924,3933,3940,3945
SUCUMBIOS,CASCALES,2106,11361,11775,12199,12631,13072,13521,13977,14442,14914,15394,15882,16377,16878,17388,17904,18427,18957,19492,20033,20580,21133
SUCUMBIOS,CUYABENO,2107,7410,7402,7389,7373,7353,7329,7301,7270,7235,7196,7154,7109,7061,7009,6955,6898,6839,6777,6711,6644,6574
ORELLANA,ORELLANA,2201,73243,75496,77710,79879,82001,84080,86117,88106,90044,91933,93778,95573,97326,99037,100720,102373,103998,105588,107142,108657,110134
ORELLANA,AGUARICO,2202,4992,4863,4729,4594,4457,4318,4179,4040,3902,3765,3629,3494,3363,3234,3107,2985,2865,2749,2636,2526,2419
ORELLANA,LA JOYA DE LOS SACHAS,2203,38162,38494,38774,39003,39182,39317,39405,39453,39457,39423,39352,39247,39112,38948,38760,38554,38327,38081,37813,37527,37223
ORELLANA,LORETO,2204,21389,21810,22208,22582,22933,23262,23568,23854,24117,24358,24579,24781,24964,25130,25282,25421,25547,25659,25756,25839,25910
SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,2301,379378,387229,395133,403063,411009,418957,426910,434849,442788,450694,458580,466423,474249,482020,489735,497385,504963,512469,519901,527261,534531
SANTO DOMINGO,LA CONCORDIA,2302,0,0,0,46926,47776,48612,49435,50241,51033,51810,52571,53316,54048,54763,55465,56151,56822,57476,58114,58735,59336
SANTA ELENA,SANTA ELENA,2401,148475,152340,156253,160203,164196,168219,172278,176373,180494,184642,188821,193033,197272,201542,205840,210167,214521,218899,223292,227704,232130
SANTA ELENA,LIBERTAD,2402,99151,101040,102928,104812,106694,108565,110426,112282,114123,115952,117767,119575,121370,123154,124922,126681,128425,130155,131861,133551,135221
SANTA ELENA,SALINAS,2403,70621,72835,75095,77393,79734,82112,84531,86991,89485,92017,94590,97202,99853,102544,105276,108048,110859,113709,116596,119517,122473
ZONAS NO DELIMITADAS,LAS GOLONDRINAS,9001,5502,5692,5887,6086,6290,6497,6710,6926,7146,7370,7598,7829,8063,8300,8541,8784,9030,9278,9529,9782,10037
ZONAS NO DELIMITADAS,MANGA DEL CURA,9003,21646,22130,22617,23106,23598,24091,24585,25078,25569,26061,26548,27034,27515,27990,28462,28928,29386,29837,30281,30720,31151
ZONAS NO DELIMITADAS,EL PIEDRERO,9004,6606,6725,6844,6961,7079,7196,7312,7426,7540,7651,7761,7869,7975,8078,8179,8277,8372,8463,8553,8639,8723
