PROVINCIAS,CANTONES,DPA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
COTOPAXI,PUJILI,0504,71762,72632,73494,74345,75179,75998,76795,77573,78328,79062,79772,80457,81121,81763,82381,82979,83552,84101,84623,85119,85590
COTOPAXI,SALCEDO,0505,60504,61223,61935,62638,63326,64000,64657,65296,65917,66518,67100,67661,68203,68727,69230,69716,70181,70625,71047,71447,71826
COTOPAXI,SAQUISILI,0506,26231,26749,27270,27793,28316,28839,29361,29881,30398,30913,31426,31934,32439,32941,33440,33935,34426,34913,35394,35869,36338
COTOPAXI,SIGCHOS,0507,22888,22961,23027,23087,23140,23185,23220,23248,23266,23276,23277,23269,23253,23230,23198,23159,23113,23059,22996,22926,22849
CHIMBORAZO,RIOBAMBA,0601,234170,237406,240612,243760,246861,249891,252865,255766,258597,261360,264048,266663,269210,271693,274107,276445,278709,280903,283020,285059,287023
CHIMBORAZO,ALAUSI,0602,46003,45986,45954,45904,45838,45752,45647,45525,45385,45229,45054,44864,44659,44440,44207,43960,43701,43429,43143,42846,42538
CHIMBORAZO,COLTA,0603,46973,46836,46682,46512,46326,46121,45897,45658,45401,45129,44838,44535,44218,43889,43546,43193,42827,42452,42064,41668,41262
CHIMBORAZO,CHAMBO,0604,12349,12470,12588,12702,12812,12917,13019,13116,13208,13295,13378,13457,13531,13602,13668,13729,13786,13839,13888,13932,13972
CHIMBORAZO,CHUNCHI,0605,13244,13221,13194,13162,13125,13083,13035,12982,12925,12862,12795,12724,12648,12570,12486,12400,12310,12217,12119,12020,11917
CHIMBORAZO,GUAMOTE,0606,46640,47773,48920,50073,51233,52398,53571,54746,55924,57105,58291,59476,60665,61857,63053,64248,65444,66641,67839,69034,70227
CHIMBORAZO,GUANO,0607,44518,44969,45409,45835,46249,46646,47028,47394,47744,48078,48395,48695,48981,49252,49508,49748,49973,50182,50375,50553,50715
CHIMBORAZO,PALLATANGA,0608,12024,12070,12112,12149,12182,12210,12233,12251,12265,12273,12277,12276,12271,12262,12248,12231,12209,12184,12154,12121,12084
CHIMBORAZO,PENIPE,0609,7029,7033,7035,7035,7032,7026,7018,7006,6991,6975,6955,6933,6908,6881,6852,6821,6788,6752,6715,6676,6635
CHIMBORAZO,CUMANDA,0610,13305,13734,14174,14621,15077,15540,16012,16491,16977,17471,17973,18481,18998,19522,20055,20595,21142,21696,22259,22827,23404
EL ORO,MACHALA,0701,256022,259620,263161,266638,270047,273390,276669,279887,283037,286120,289141,292106,295009,297851,300632,303356,306015,308610,311136,313596,315982
