Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
430,Liberia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,...,...,"8,021.78",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,8021.78,...,2.82
438,Liechtenstein,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",228.39,235.90,236.09,243.22,229.68,233.53,235.90,248.47,259.49,256.50,247.12,246.70,253.01,263.28,263.96,264.51,267.84,238.55,258.55,243.91,229.02,215.97,225.20,231.77,199.73,197.79,187.99,194.00,181.08,2018,181.08,-20.72,4.78
440,Lithuania,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","48,016.43","50,014.70","30,804.47","24,733.05","23,313.27","22,332.61","23,384.19","22,935.81","23,918.89","21,059.86","19,523.18","20,317.59","20,680.25","20,844.98","21,702.41","22,801.83","23,095.70","25,282.97","24,376.27","20,068.47","20,887.59","21,462.69","21,396.48","20,167.64","20,110.69","20,400.43","20,420.35","20,617.61","20,266.83",2018,20266.83,-57.79,7.23
442,Luxembourg,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","12,741.06","13,382.78","13,146.80","13,293.45","12,468.53","10,091.81","10,155.26","9,503.14","8,622.18","9,087.98","9,669.11","10,158.18","10,934.88","11,376.30","12,766.97","13,009.12","12,838.07","12,253.93","12,135.10","11,587.58","12,169.06","12,046.25","11,773.25","11,234.48","10,776.85","10,290.10","10,050.69","10,235.70","10,547.15",2018,10547.15,-17.22,17.46
450,Madagascar,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"21,933.66",...,...,...,...,...,"29,343.90",...,...,...,...,"25,924.60","27,695.96","27,733.32","27,239.25","27,414.91","27,756.08",...,...,...,...,...,...,...,...,2010,27756.08,...,1.31
454,Malawi,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","8,044.56",...,...,...,"7,070.34",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,7070.34,-12.11,0.73
458,Malaysia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","67,367.88","94,590.97","102,038.42","112,581.63","123,587.83","125,005.30","143,655.76","163,827.66","155,853.09","169,353.53","195,703.31","204,986.35","213,125.60","227,260.32","244,841.99","262,996.44","263,945.15","279,777.19","288,268.42","280,071.16","301,001.12","287,740.31",...,...,...,...,...,...,...,2011,287740.31,327.12,10.04
462,Maldives,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,152.98,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,282.10","1,351.70","1,447.68","1,508.21","1,535.90",...,...,...,2015,1535.90,...,3.38
466,Mali,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,"8,666.21",...,...,...,...,"12,298.70",...,...,...,...,...,...,...,...,...,"52,732.84",...,...,...,...,...,...,...,...,2010,52732.84,...,3.50
470,Malta,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","2,570.37","2,424.28","2,493.29","3,079.73","2,864.00","2,660.74","2,783.21","2,798.73","2,765.98","2,853.10","2,789.77","2,917.46","2,969.38","3,250.05","3,139.28","2,972.18","3,032.32","3,130.48","3,078.43","2,899.98","2,984.08","2,992.34","3,207.53","2,894.18","2,933.25","2,255.29","1,944.05","2,156.18","2,186.11",2018,2186.11,-14.95,4.98
584,Marshall Islands,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,...,...,122.53,...,...,...,...,135.09,...,...,...,...,169.82,...,...,...,...,...,...,...,...,2010,169.82,...,3.01
